,id,name,rating,reviews,host_name,host_id,address,features,amenities,safety_rules,hourse_rules,img_links,price,country,bathrooms,beds,guests,toiles,bedrooms,studios,checkin,checkout
0,49849504,Perla bungalov,4.71,64,Mehmetcan,357334205.0,"Kartepe, Kocaeli, Turkey","2 guests,2 bedrooms,1 bed,1 bathroom","Mountain view,Valley view,Lake access,Kitchen,Wifi,Free parking on premises,Pets allowed,TV,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠃,No carbon monoxide alarm,󱠃,No smoke alarm,󱠃,Nearby lake, river, other body of water,Show more,Show more,","Check-in: Flexible,Check out: 12:00 pm,Pets are allowed,󱤇,Smoking is allowed",https://a0.muscache.com/im/pictures/a5da5cb7-cac8-488f-85b1-a0dd78b28a86.jpg?im_w=720 https://a0.muscache.com/im/pictures/9aa4bc71-de8e-444a-b9fa-c2679a71a059.jpg?im_w=720 https://a0.muscache.com/im/pictures/81c2d325-fc04-40da-852f-9490df74b62b.jpg?im_w=720 https://a0.muscache.com/im/pictures/cf7f3f57-8a00-4397-acea-c891760d4b2f.jpg?im_w=720 https://a0.muscache.com/im/pictures/0fc82edc-c539-453b-8a46-268c988530fc.jpg?im_w=720 https://a0.muscache.com/im/pictures/54e427bb-9cb7-4a81-94cf-78f19156faad.jpg,8078, Turkey,1,1,2,0,2,0, Flexible, 12 00 pm
1,50891766,Authentic Beach Architect Sheltered Villa with Pool and Jacuzzi,New,0,Fatih,386223873.0,"Kaş, Antalya, Turkey","4 guests,2 bedrooms,2 beds,2 bathrooms","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Private hot tub,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: 4:00 pm - 11:00 pm,Check out: 10:00 am,No smoking,No pets,No parties or events",https://a0.muscache.com/im/pictures/61b70855-2032-4d6d-8064-0209d37ba883.jpg?im_w=720 https://a0.muscache.com/im/pictures/37f85230-5464-4466-9445-c3301cd2dd1b.jpg?im_w=720 https://a0.muscache.com/im/pictures/21bdf86f-d954-4449-b24a-1beeedbcbf56.jpg?im_w=720 https://a0.muscache.com/im/pictures/dfb4fa9e-cb66-41b5-8698-344ac205b939.jpg?im_w=720 https://a0.muscache.com/im/pictures/b5edbce8-0148-42a0-9ce0-fede376fd2de.jpg?im_w=720 https://a0.muscache.com/im/pictures/54e427bb-9cb7-4a81-94cf-78f19156faad.jpg,4665, Turkey,2,2,4,0,2,0, 4 00 pm - 11 00 pm, 10 00 am
2,50699164,cottages sataplia,4.85,68,Giorgi,409690853.0,"Imereti, Georgia","4 guests,1 bedroom,3 beds,1 bathroom","Mountain view,Kitchen,Wifi,Dedicated workspace,Free driveway parking on premises,Pets allowed,40"" HDTV with cable/satellite TV,Lift,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠃,No carbon monoxide alarm,󱠃,No smoke alarm,Show more,Show more,","Check-in: After 1:00 pm,Check out: 12:00 pm,Self check-in with lockbox,Pets are allowed",https://a0.muscache.com/im/pictures/miso/Hosting-50699164/original/195db67c-a858-497b-bd8f-1c23df17ee62.jpeg?im_w=720 https://a0.muscache.com/im/pictures/cfa43081-5f9b-42c6-ab30-3e238c920544.jpg?im_w=720 https://a0.muscache.com/im/pictures/a0a56c4e-9859-4b60-b585-0eafdc409bed.jpg?im_w=720 https://a0.muscache.com/im/pictures/ef86d12b-218c-4782-a8f6-fb542c5ef3e0.jpg?im_w=720 https://a0.muscache.com/im/pictures/25a7173b-486f-4013-ab95-928e9f90b40c.jpg?im_w=720 https://a0.muscache.com/im/pictures/54e427bb-9cb7-4a81-94cf-78f19156faad.jpg,5991, Georgia,1,3,4,0,1,0, After 1 00 pm, 12 00 pm
3,49871422,Sapanca Breathable Bungalow,5.0,13,Melih,401873242.0,"Sapanca, Sakarya, Turkey","4 guests,1 bedroom,2 beds,1 bathroom","Mountain view,Valley view,Kitchen,Wifi,Free parking on premises,Private pool,42"" HDTV with Netflix,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠃,No carbon monoxide alarm,󱠃,No smoke alarm,󱠃,Security camera/recording device Show more,󱠃,Nearby lake, river, other body of water,Show more,Show more,","Check-in: After 2:00 pm,Check out: 12:00 pm,No smoking,No pets",https://a0.muscache.com/im/pictures/72e6396e-e0c2-436c-b6b7-b985415cc31f.jpg?im_w=720 https://a0.muscache.com/im/pictures/db610024-07b4-4064-93e2-3c781bc6ca38.jpg?im_w=720 https://a0.muscache.com/im/pictures/bb6c23de-75ad-41ce-88dc-92656e67dcfa.jpg?im_w=720 https://a0.muscache.com/im/pictures/c6c8db17-4e1e-4aa0-b303-c27400dca7df.jpg?im_w=720 https://a0.muscache.com/im/pictures/e5652546-1683-409b-b43c-ebbb90877663.jpg?im_w=720 https://a0.muscache.com/im/pictures/54e427bb-9cb7-4a81-94cf-78f19156faad.jpg,11339, Turkey,1,2,4,0,1,0, After 2 00 pm, 12 00 pm
4,51245886,Bungalov Ev 2,New,0,Arp Sapanca,414884116.0,"Sapanca, Sakarya, Turkey","2 guests,1 bedroom,1 bed,1 bathroom","Kitchen,Wifi,Free parking on premises,TV,Air conditioning,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,󱠃,Nearby lake, river, other body of water,Show more,Show more,","Check-in: After 2:00 pm,Check out: 12:00 pm,No smoking,No pets,No parties or events,Show more,Show more,",https://a0.muscache.com/im/pictures/73973308-e01c-4023-982e-2f8f7a0af015.jpg?im_w=720 https://a0.muscache.com/im/pictures/c6481689-ad69-4f9b-9a0b-7ccdab6a8b05.jpg?im_w=720 https://a0.muscache.com/im/pictures/0beaa85e-a12b-43c8-a27f-4502bee54146.jpg?im_w=720 https://a0.muscache.com/im/pictures/fa25e8fa-fe03-4381-8876-a29c742be46a.jpg?im_w=720 https://a0.muscache.com/im/pictures/41a2b1b5-fd15-449a-a874-1297208b2686.jpg?im_w=720 https://a0.muscache.com/im/pictures/54e427bb-9cb7-4a81-94cf-78f19156faad.jpg,6673, Turkey,1,1,2,0,1,0, After 2 00 pm, 12 00 pm
5,48650769,CasaMia White Suite Treehouse,New,0,Casamia,261290482.0,"Sapanca, Sakarya, Turkey","2 guests,1 bedroom,2 beds,1 bathroom","Lake view,Mountain view,Waterfront,Wifi,Dedicated workspace,Free parking on premises,Private pool,HDTV with Netflix,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠃,No carbon monoxide alarm,󱠃,Security camera/recording device Show more,󱠃,Nearby lake, river, other body of water,󱠃,Climbing or play structure,Show more,Show more,","Check-in: After 2:00 pm,Check out: 12:00 pm,No smoking,No pets",https://a0.muscache.com/im/pictures/miso/Hosting-48650769/original/9ac7b33c-82af-4040-b71c-fbedd99d9d90.jpeg?im_w=720 https://a0.muscache.com/im/pictures/miso/Hosting-48650769/original/c15ca735-fea5-4987-bfef-a98167a38328.jpeg?im_w=720 https://a0.muscache.com/im/pictures/miso/Hosting-48650769/original/80f854eb-da6a-4be3-b302-0492dafd5d1f.jpeg?im_w=720 https://a0.muscache.com/im/pictures/miso/Hosting-48650769/original/45316c73-997a-4d21-a2e2-236ce275cad3.jpeg?im_w=720 https://a0.muscache.com/im/pictures/miso/Hosting-48650769/original/bde6c0a9-6aed-4aa5-bfde-a0fba7f6c7d8.jpeg?im_w=720 https://a0.muscache.com/im/pictures/54e427bb-9cb7-4a81-94cf-78f19156faad.jpg,14729, Turkey,1,2,2,0,1,0, After 2 00 pm, 12 00 pm
6,50765985,Ladin Bungalow,New,0,Stephen,15084529.0,"Kaş, Antalya, Turkey","2 guests,1 bedroom,1 bed,1 bathroom","Garden view,Mountain view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Pets allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: After 3:00 pm,Check out: 11:00 am,No smoking,Pets are allowed",https://a0.muscache.com/im/pictures/prohost-api/Hosting-50765985/original/ff995cb6-e5dd-43c9-8448-fac2efef3271.jpeg?im_w=720 https://a0.muscache.com/im/pictures/prohost-api/Hosting-50765985/original/3be0bc25-4b3b-45df-b52b-2f9cdcf87b1d.jpeg?im_w=720 https://a0.muscache.com/im/pictures/prohost-api/Hosting-50765985/original/410bd1fd-b341-4641-9793-9350873a9c2b.jpeg?im_w=720 https://a0.muscache.com/im/pictures/prohost-api/Hosting-50765985/original/dffeb26c-9e1a-4c7f-b8e9-b12854032b9a.jpeg?im_w=720 https://a0.muscache.com/im/pictures/prohost-api/Hosting-50765985/original/08bf9b96-95c1-4f89-a10a-64de31f82ff1.jpeg?im_w=720 https://a0.muscache.com/im/pictures/54e427bb-9cb7-4a81-94cf-78f19156faad.jpg,12312, Turkey,1,1,2,0,1,0, After 3 00 pm, 11 00 am
7,40947216,Lavender House,New,0,Caner,318794897.0,"Akçalı, Giresun, Turkey","8 guests,1 bedroom,2 beds,1 bathroom","Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Indoor fireplace,Hair dryer,Fire pit,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,󱠆,Smoke alarm not reported Show more,Show more,Show more,","Check-in: Flexible,Self check-in with building staff,No smoking,Pets are allowed,Show more,Show more,",https://a0.muscache.com/im/pictures/97046585-1b10-442d-b99a-d2a4be9ce892.jpg?im_w=720 https://a0.muscache.com/im/pictures/2c45e585-8707-49aa-8b3c-ec0757942700.jpg?im_w=720 https://a0.muscache.com/im/pictures/4b568352-598d-49a7-9753-f147f11413a2.jpg?im_w=720 https://a0.muscache.com/im/pictures/2c8909d0-3af7-42bd-8c3c-336043c341b5.jpg?im_w=720 https://a0.muscache.com/im/pictures/5bf3f0fd-a6de-4845-b837-9c3c1b64c9e9.jpg?im_w=720 https://a0.muscache.com/im/pictures/54e427bb-9cb7-4a81-94cf-78f19156faad.jpg https://a0.muscache.com/im/pictures/fd2af060-96be-4144-a077-fe57bb1d2912.jpg?im_w=720,13655, Turkey,1,2,8,0,1,0, Flexible,NA
8,34043569,Prince's,New,0,Tu,221057563.0,"Thành phố Đà Lạt, Lâm Đồng, Vietnam","2 guests,1 bedroom,1 bed,1 bathroom","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Washing machine,Dryer,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠃,No smoke alarm,󱠆,Carbon monoxide alarm not reported Show more,Show more,Show more,","Check-in: After 1:00 pm,Check out: 11:00 am,Self check-in with lockbox,Pets are allowed,󱤇,Smoking is allowed",https://a0.muscache.com/im/pictures/1bd2f3f8-0776-46fc-869c-d54dfb26853d.jpg?im_w=720 https://a0.muscache.com/im/pictures/6d969a6c-4afb-44a9-aa3f-838094b22977.jpg?im_w=720 https://a0.muscache.com/im/pictures/53e46e9f-a0d0-46d0-895f-739587dc273e.jpg?im_w=720 https://a0.muscache.com/im/pictures/3290241c-66bc-48ff-b7aa-0ed9fbd5bfab.jpg?im_w=720 https://a0.muscache.com/im/pictures/d3292e15-c2d7-450c-85ae-bdfdfedf884e.jpg?im_w=720 https://a0.muscache.com/im/pictures/54e427bb-9cb7-4a81-94cf-78f19156faad.jpg,1747, Vietnam,1,1,2,0,1,0, After 1 00 pm, 11 00 am
9,42075682,"The Cottage, Private Pool Villa",4.67,3,Sukanya,173126583.0,"Tambon Bang Kachai, Chang Wat Chanthaburi, Thailand","10 guests,4 bedrooms,6 beds,3 bathrooms","Kitchen,Wifi,Free parking on premises,Private pool,TV,Air conditioning,Breakfast,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","󹀁,Airbnb's COVID-19 safety practices apply,󱠆,Carbon monoxide alarm not reported Show more,Smoke alarm,Show more,Show more,","Check-in: After 3:00 pm,No smoking,No pets",https://a0.muscache.com/im/pictures/42d26843-493a-4690-9817-5e4316f8f1ea.jpg?im_w=720 https://a0.muscache.com/im/pictures/2cf0fb84-e01e-4439-8635-e8c0cca9396e.jpg?im_w=720 https://a0.muscache.com/im/pictures/5fb7483d-dd26-4343-8e86-00d4d916840a.jpg?im_w=720 https://a0.muscache.com/im/pictures/2b1e192e-9158-4750-9c6a-24c94bd5faab.jpg?im_w=720 https://a0.muscache.com/im/pictures/c7e3ed6d-47b4-48fb-b9be-dbd95628b01a.jpg?im_w=720 https://a0.muscache.com/im/pictures/54e427bb-9cb7-4a81-94cf-78f19156faad.jpg,30486, Thailand,3,6,10,0,4,0, After 3 00 pm,NA
