id,name,rating,reviews,bathrooms,beds,guests,toilets,bedrooms,studios,checkin,checkout,host_id,country,family_suitability,price_fix,safety,natural_condition,work_suitability
49849504,Perla bungalov,4,64,1,1,2,0,2,0,3,2,357334205.0,Turkey,2,269.0,1,3,1
50891766,Authentic Beach Architect Sheltered Villa with Pool and Jacuzzi,0,0,2,2,4,0,2,0,2,1,386223873.0,Turkey,1,156.0,1,0,2
50699164,cottages sataplia,4,68,1,3,4,0,1,0,2,2,409690853.0,Georgia,2,200.0,2,1,2
49871422,Sapanca Breathable Bungalow,5,13,1,2,4,0,1,0,2,2,401873242.0,Turkey,0,378.0,3,2,1
51245886,Bungalov Ev 2,0,0,1,1,2,0,1,0,2,2,414884116.0,Turkey,1,222.0,1,0,2
48650769,CasaMia White Suite Treehouse,0,0,1,2,2,0,1,0,2,2,261290482.0,Turkey,0,491.0,3,1,2
50765985,Ladin Bungalow,0,0,1,1,2,0,1,0,2,1,15084529.0,Turkey,1,410.0,1,1,2
40947216,Lavender House,0,0,1,2,8,0,1,0,3,0,318794897.0,Turkey,1,455.0,1,0,2
34043569,Prince's,0,0,1,1,2,0,1,0,2,1,221057563.0,Vietnam,3,58.0,2,0,2
42075682,"The Cottage, Private Pool Villa",4,3,3,6,10,0,4,0,2,0,173126583.0,Thailand,0,1016.0,1,0,2
50425621,"A private pension hut on the hillside of Soklisan Solitary House 1, with a campfire and free firewood for apple trees",4,77,1,1,4,0,1,0,2,1,81358542.0,South Korea,2,302.0,0,1,1
46057058,A Frame Tiny Cozy Glamp: Wanderthirst Dharamshala,4,55,1,1,2,0,1,0,2,1,280249735.0,India,3,190.0,2,0,1
50689801,Cabin A Pahimis - private w/ pool & kitchen for 8,4,116,2,7,8,0,2,0,2,2,33615391.0,Philippines,2,487.0,2,0,3
53708687,Off-Grid Tiny A-Frame House and Campsite,4,23,1,2,15,0,1,0,2,2,30191442.0,Philippines,3,298.0,2,0,2
48325030,"Kızılkaya bungalow houses, my home",4,21,1,1,4,0,1,0,2,2,390046880.0,Turkey,3,125.0,2,1,1
620245309297447077,Villa Tuba,5,8,1,4,6,0,2,0,2,1,457624068.0,Turkey,2,759.0,3,0,2
48255254,VADİ BUNGALOV SAPANCA,4,52,1,2,4,0,1,0,2,1,241464990.0,Turkey,2,376.0,2,2,2
628273169113266405,AĞVA ÇINARHAN VİLLA GARDEN-Bahçe Jakuzili Bungalov,4,8,1,1,2,0,1,0,2,2,339801372.0,Turkey,1,251.0,1,0,2
49982847,Purkinora Bungalow,4,17,1,6,2,0,2,0,1,1,403086029.0,Turkey,2,167.0,3,1,2
48684568,A Glass Teepee Tiny House by the River,4,61,1,1,3,0,0,0,2,2,43936498.0,Philippines,2,92.0,2,0,0
45231237,Sioni Lake House,4,49,1,1,3,0,1,0,2,2,349861144.0,Georgia,1,228.0,1,0,0
50283577,Faith Bay Huts 1,4,38,1,1,2,0,1,0,2,1,95436964.0,Philippines,1,184.0,3,0,1
53809258,Sapanca Loft Bungalow,4,23,1,4,6,0,2,0,2,2,415204875.0,Turkey,2,231.0,1,1,2
52449114,Enthralling Escapes with snow view mountains #,5,4,1,1,2,0,1,0,2,1,424528379.0,India,1,124.0,1,1,1
53192531,New Chalets on Farm with Fireplace #6,4,15,1,3,6,0,2,0,2,0,319748087.0,Turkey,0,428.0,0,0,2
53151582,Sapancaguldibibugalov,4,26,1,1,4,0,1,0,2,2,430242262.0,Turkey,3,271.0,3,1,2
625932329535277910,sapanca Bungalife M,4,5,2,4,7,0,3,0,0,0,457654417.0,Turkey,0,502.0,2,0,1
629647204973611229,Bungalows with private pools in touch with nature,0,2,1,1,4,0,1,0,2,2,459745732.0,Turkey,1,520.0,3,0,1
46794233,sapancapanoramabungalow1,5,4,1,2,4,0,1,0,2,2,359685585.0,Turkey,3,249.0,3,3,2
22606080,Coconut Tree House Udalo Mindoro,4,85,1,1,2,0,1,0,3,0,23070428.0,Philippines,1,46.0,1,0,0
